allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class,subclass,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand,genbank_start,genbank_stop,refseq_strand,refseq_start,refseq_stop,pubmed_reference,blacklisted_taxa,synonyms,hierarchy_node,db_version,refseq_gene,refseq_protein,refseq_genome,refseq_organism,refseq_parent,rrefseq_protein,refseq_same_parent,genbank_organsim_nuc,genbank_strain_nuc,genbank_organsim_prot,genbank_strain_prot,strain,parent_taxon
,vanS-B,,vancomycin resistance histidine kinase VanS-B,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_002368696.1,NG_055632.1,No,AAB05623.1,U35369.1,+,840,2183,+,101.0,1444.0,8631706,,vanSB,vanS-B,2023-11-15.1,Enterococcus faecalis V583 vanS-B,vancomycin resistance histidine kinase VanS-B,,Enterococcus faecalis,Enterococcus,vancomycin resistance histidine kinase VanS-B,Enterococcus,Enterococcus faecalis,V583,Enterococcus faecalis,V583,Enterococcus faecalis V583,http://www.wikidata.org/entity/Q140014
vanS-B-Delta,vanS-B,,VanB-type vancomycin resistance histidine kinase VanS-B-Delta,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856737.1,NG_048434.1,No,AAQ12903.1,AF550669.1,+,77,1402,+,77.0,1402.0,14617162,,,vanS-B-Delta,2023-11-15.1,Enterococcus faecium BM4525 vanS-B,VanB-type vancomycin resistance histidine kinase VanS-B-Delta,,Enterococcus faecium,Enterococcus faecium,VanB-type vancomycin resistance histidine kinase VanS-B-Delta,Enterococcus faecium,Enterococcus faecium,BM4525,Enterococcus faecium,BM4525,Enterococcus faecium BM4525,http://www.wikidata.org/entity/Q140010
,vanS-C,,vancomycin resistance histidine kinase VanS-C,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856733.1,NG_048430.1,No,AAF86642.1,AF162694.1,+,5878,6963,+,101.0,1186.0,10817725,,vanSC,vanS-C,2023-11-15.1,Enterococcus gallinarum BM4174 vanS-C,vancomycin resistance histidine kinase VanS-C,,Enterococcus gallinarum,Enterococcus gallinarum,vancomycin resistance histidine kinase VanS-C,Enterococcus gallinarum,Enterococcus gallinarum,BM4174,Enterococcus gallinarum,BM4174,Enterococcus gallinarum BM4174,http://www.wikidata.org/entity/Q5380225
,vanS-C,,vancomycin resistance histidine kinase VanS-C,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856743.1,NG_048443.1,No,AAY67972.1,DQ022190.1,+,4672,5757,+,101.0,1186.0,16495270,,vanSC,vanS-C,2023-11-15.1,Enterococcus gallinarum N04-0414 vanS-C,vancomycin resistance histidine kinase VanS-C,,Enterococcus gallinarum,Enterococcus gallinarum,vancomycin resistance histidine kinase VanS-C,Enterococcus gallinarum,Enterococcus gallinarum,N04-0414,Enterococcus gallinarum,N04-0414,Enterococcus gallinarum N04-0414,http://www.wikidata.org/entity/Q5380225
,vanS-C,,vancomycin resistance histidine kinase VanS-C,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_034869172.1,NG_051722.1,Yes,,GG670387.1,-,609862,610992,+,101.0,1231.0,,,vanSC,vanS-C,2023-11-15.1,Enterococcus casseliflavus EC30 EG1 vanS-C,vancomycin resistance histidine kinase VanS-C,,Enterococcus casseliflavus EC30,Enterococcus,vancomycin resistance histidine kinase VanS-C,Enterococcus,Enterococcus casseliflavus EC30,EG1,,,Enterococcus casseliflavus EC30 EG1,http://www.wikidata.org/entity/Q5834259
,vanS-D,,vancomycin resistance histidine kinase VanS-D,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856730.1,NG_048426.1,No,AAD42181.1,AF130997.1,+,765,1910,+,101.0,1246.0,10368136,,vanSD,vanS-D,2023-11-15.1,Enterococcus faecium BM4339 vanS-D,vancomycin resistance histidine kinase VanS-D,,Enterococcus faecium,Enterococcus faecium,vancomycin resistance histidine kinase VanS-D,Enterococcus faecium,Enterococcus faecium,BM4339,Enterococcus faecium,BM4339,Enterococcus faecium BM4339,http://www.wikidata.org/entity/Q140010
,vanS-D,,vancomycin resistance histidine kinase VanS-D,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_023042297.1,NG_048436.1,No,AAR37057.1,AY489045.1,+,689,1834,+,101.0,1246.0,15308604,,vanSD,vanS-D,2023-11-15.1,Enterococcus faecium N03-0072 vanS-D,vancomycin resistance histidine kinase VanS-D,,Enterococcus faecium,Enterococcus,vancomycin resistance histidine kinase VanS-D,Enterococcus,Enterococcus faecium,N03-0072,Enterococcus faecium,N03-0072,Enterococcus faecium N03-0072,http://www.wikidata.org/entity/Q140010
,vanS-D,,vancomycin resistance histidine kinase VanS-D,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856744.1,NG_048444.1,No,AAZ98836.1,DQ172830.1,+,689,1834,+,101.0,1246.0,16495270,,vanSD,vanS-D,2023-11-15.1,Enterococcus gallinarum N04-0414 vanS-D,vancomycin resistance histidine kinase VanS-D,,Enterococcus gallinarum,Enterococcus gallinarum,vancomycin resistance histidine kinase VanS-D,Enterococcus gallinarum,Enterococcus gallinarum,N04-0414,Enterococcus gallinarum,N04-0414,Enterococcus gallinarum N04-0414,http://www.wikidata.org/entity/Q5380225
,vanS-D,,vancomycin resistance histidine kinase VanS-D,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_028530133.1,NG_048445.1,No,ABS72055.1,EF508033.1,+,709,1854,+,101.0,1246.0,17724150,,vanSD,vanS-D,2023-11-15.1,Ruminococcus gauvreauii CCRI-16110 vanS-D,vancomycin resistance histidine kinase VanS-D,,Ruminococcus gauvreauii,Ruminococcus gauvreauii,vancomycin resistance histidine kinase VanS-D,Ruminococcus gauvreauii,Ruminococcus gauvreauii,CCRI-16110,Ruminococcus gauvreauii,CCRI-16110,Ruminococcus gauvreauii CCRI-16110,http://www.wikidata.org/entity/Q26283016
,vanS-E,,vancomycin resistance histidine kinase VanS-E,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856734.1,NG_048431.1,No,AAL27446.1,FJ872411.1,+,44193,45266,+,101.0,1174.0,12019119,,vanSE,vanS-E,2023-11-15.1,Enterococcus faecalis N00-0410 vanS-E,vancomycin resistance histidine kinase VanS-E,,Enterococcus faecalis,Enterococcus faecalis,vancomycin resistance histidine kinase VanS-E,Enterococcus faecalis,Enterococcus faecalis,N00-0410,Enterococcus faecalis,N00-0410,Enterococcus faecalis N00-0410,http://www.wikidata.org/entity/Q140014
,vanS-G,,vancomycin resistance histidine kinase VanS-G,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_021418927.1,NG_048435.1,No,AAQ16269.1,AY271782.1,+,18045,19151,+,101.0,1207.0,16723588,,vanSG,vanS-G,2023-11-15.1,Enterococcus faecalis BM4518 vanS-G,vancomycin resistance histidine kinase VanS-G,,Enterococcus faecalis,Bacillota,vancomycin resistance histidine kinase VanS-G,Bacillota,Enterococcus faecalis,BM4518,Enterococcus faecalis,BM4518,Enterococcus faecalis BM4518,http://www.wikidata.org/entity/Q140014
,vanS-I,,vancomycin resistance histidine kinase VanS-I,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_011461302.1,NG_149654.1,No,BAE85477.1,AP008230.1,-,4200837,4202015,+,101.0,1279.0,,,vanSI,vanS-I,2023-11-15.1,Desulfitobacterium hafniense Y51 vanS-I,vancomycin resistance histidine kinase VanS-I,,Desulfitobacterium hafniense Y51,Desulfitobacterium hafniense,vancomycin resistance histidine kinase VanS-I,Desulfitobacterium hafniense,Desulfitobacterium hafniense Y51,Y51,Desulfitobacterium hafniense Y51,Y51,Desulfitobacterium hafniense Y51,http://www.wikidata.org/entity/Q3706079
,vanS-L,,vancomycin resistance histidine kinase VanS-L,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856745.1,NG_048446.1,No,ABX54692.1,EU250284.1,+,5416,6510,+,101.0,1195.0,18458129,,vanSL,vanS-L,2023-11-15.1,Enterococcus faecalis N06-0364 vanS-L,vancomycin resistance histidine kinase VanS-L,,Enterococcus faecalis,Enterococcus faecalis,vancomycin resistance histidine kinase VanS-L,Enterococcus faecalis,Enterococcus faecalis,N06-0364,Enterococcus faecalis,N06-0364,Enterococcus faecalis N06-0364,http://www.wikidata.org/entity/Q140014
,vanS-M,,vancomycin resistance histidine kinase VanS-M,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856748.1,NG_048450.1,No,ACL82958.1,FJ349556.1,+,1673,2785,+,101.0,1213.0,20733041,,vanSM,vanS-M,2023-11-15.1,Enterococcus faecium Efm-HS0661 vanS-M,vancomycin resistance histidine kinase VanS-M,,Enterococcus faecium,Lactobacillales,vancomycin resistance histidine kinase VanS-M,Lactobacillales,Enterococcus faecium,Efm-HS0661,Enterococcus faecium,Efm-HS0661,Enterococcus faecium Efm-HS0661,http://www.wikidata.org/entity/Q140010
,vanS-N,,vancomycin resistance histidine kinase VanS-N,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856749.1,NG_048451.1,No,AEP40504.1,JF802084.2,+,5020,6114,+,101.0,1195.0,21807981,,vanSN,vanS-N,2023-11-15.1,Enterococcus faecium UCN71 vanS-N,vancomycin resistance histidine kinase VanS-N,,Enterococcus faecium,Enterococcus faecium,vancomycin resistance histidine kinase VanS-N,Enterococcus faecium,Enterococcus faecium,UCN71,Enterococcus faecium,UCN71,Enterococcus faecium UCN71,http://www.wikidata.org/entity/Q140010
,vanS-P,,vancomycin resistance histidine kinase VanS-P,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_222891058.1,NG_088566.1,No,MBY8651250.1,JAINTN010000010.1,-,14254,15333,+,101.0,1180.0,,,,vanS-P,2023-11-15.1,Enterococcus faecium 2112-2516-P2 vanS-P,vancomycin resistance histidine kinase VanS-P,,Enterococcus faecium,Enterococcus faecium,vancomycin resistance histidine kinase VanS-P,Enterococcus faecium,Enterococcus faecium,2112-2516-P2,Enterococcus faecium,2112-2516-P2,Enterococcus faecium 2112-2516-P2,http://www.wikidata.org/entity/Q140010
,vanS-Pt,,vancomycin resistance histidine kinase VanS-Pt,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856741.1,NG_048441.1,No,AAY52003.1,DQ018710.1,+,3721,4881,+,101.0,1261.0,16189102,,,vanS-Pt,2023-11-15.1,Paenibacillus thiaminolyticus PT-2B1 vanS-Pt,vancomycin resistance histidine kinase VanS-Pt,,Paenibacillus thiaminolyticus,Paenibacillus thiaminolyticus,vancomycin resistance histidine kinase VanS-Pt,Paenibacillus thiaminolyticus,Paenibacillus thiaminolyticus,PT-2B1,Paenibacillus thiaminolyticus,PT-2B1,Paenibacillus thiaminolyticus PT-2B1,http://www.wikidata.org/entity/Q26270482
,vanS-Pt,,vancomycin resistance histidine kinase VanS-Pt,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856742.1,NG_048442.1,No,AAY52010.1,DQ018711.1,+,674,1840,+,101.0,1267.0,16189102,,,vanS-Pt,2023-11-15.1,Paenibacillus apiarius PA-B2B vanS-Pt,vancomycin resistance histidine kinase VanS-Pt,,Paenibacillus apiarius,Paenibacillus apiarius,vancomycin resistance histidine kinase VanS-Pt,Paenibacillus apiarius,Paenibacillus apiarius,PA-B2B,Paenibacillus apiarius,PA-B2B,Paenibacillus apiarius PA-B2B,http://www.wikidata.org/entity/Q26269679
,vanS-Pt2,,vancomycin resistance histidine kinase VanS-Pt2,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856740.1,NG_048440.1,No,AAX19282.1,AY926880.2,+,1391,2551,+,101.0,1261.0,,,,vanS-Pt2,2023-11-15.1,Paenibacillus thiaminolyticus RSA1221 vanS-Pt2,vancomycin resistance histidine kinase VanS-Pt2,,Paenibacillus thiaminolyticus,Paenibacillus thiaminolyticus,vancomycin resistance histidine kinase VanS-Pt2,Paenibacillus thiaminolyticus,Paenibacillus thiaminolyticus,RSA1221,Paenibacillus thiaminolyticus,RSA1221,Paenibacillus thiaminolyticus RSA1221,http://www.wikidata.org/entity/Q26270482
,vanS-Sc,,vancomycin resistance histidine kinase VanS-Sc,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_003975349.1,NG_070727.1,No,TYP17068.1,VNID01000003.1,+,420246,421340,+,101.0,1195.0,,,,vanS-Sc,2023-11-15.1,Streptomyces coelicolor A3(2) ICSSB 1010 vanS-Sc,vancomycin resistance histidine kinase VanS-Sc,,Streptomyces coelicolor A3(2),Streptomyces,VanSc-type vancomycin resistance histidine kinase VanS,Streptomyces,Streptomyces coelicolor A3(2),ICSSB 1010,Streptomyces coelicolor A3(2),ICSSB 1010,Streptomyces coelicolor A3(2) ICSSB 1010,http://www.wikidata.org/entity/Q2355919
,vanT-C,,membrane-bound serine racemase VanT-C,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_003126777.1,NG_048454.1,No,AAD22403.1,AF162694.1,+,3008,5104,+,101.0,2197.0,"10209740,10817725",,vanTC,vanT-C,2023-11-15.1,Enterococcus gallinarum BM4174 vanT-C,membrane-bound serine racemase VanT-C,,Enterococcus gallinarum,Enterococcus,membrane-bound serine racemase VanT-C,Enterococcus,Enterococcus gallinarum,BM4174,Enterococcus gallinarum,BM4174,Enterococcus gallinarum BM4174,http://www.wikidata.org/entity/Q5380225
,vanT-C,,membrane-bound serine racemase VanT-C,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856754.1,NG_048458.1,No,AAY67970.1,DQ022190.1,+,1802,3898,+,101.0,2197.0,16495270,,vanTC,vanT-C,2023-11-15.1,Enterococcus gallinarum N04-0414 vanT-C,membrane-bound serine racemase VanT-C,,Enterococcus gallinarum,Enterococcus gallinarum,membrane-bound serine racemase VanT-C,Enterococcus gallinarum,Enterococcus gallinarum,N04-0414,Enterococcus gallinarum,N04-0414,Enterococcus gallinarum N04-0414,http://www.wikidata.org/entity/Q5380225
,vanT-C,,membrane-bound serine racemase VanT-C,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856755.1,NG_048459.1,No,ABX79410.1,EU151752.1,+,1647,3749,+,101.0,2203.0,19216682,,vanTC,vanT-C,2023-11-15.1,Enterococcus casseliflavus F32 vanT-C,membrane-bound serine racemase VanT-C,,Enterococcus casseliflavus,Enterococcus casseliflavus,membrane-bound serine racemase VanT-C,Enterococcus casseliflavus,Enterococcus casseliflavus,F32,Enterococcus casseliflavus,F32,Enterococcus casseliflavus F32,http://www.wikidata.org/entity/Q5834259
,vanT-C,,membrane-bound serine racemase VanT-C,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856756.1,NG_048460.1,No,ABX79415.1,EU151753.1,+,1647,3749,+,101.0,2203.0,19216682,,vanTC,vanT-C,2023-11-15.1,Enterococcus casseliflavus eS852 vanT-C,membrane-bound serine racemase VanT-C,,Enterococcus casseliflavus,Enterococcus casseliflavus,membrane-bound serine racemase VanT-C,Enterococcus casseliflavus,Enterococcus casseliflavus,eS852,Enterococcus casseliflavus,eS852,Enterococcus casseliflavus eS852,http://www.wikidata.org/entity/Q5834259
,vanT-E,,membrane-bound serine racemase VanT-E,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856753.1,NG_048456.1,No,AAL27444.1,FJ872411.1,+,41337,43445,+,101.0,2209.0,12019119,,vanTE,vanT-E,2023-11-15.1,Enterococcus faecalis N00-0410 vanT-E,membrane-bound serine racemase VanT-E,,Enterococcus faecalis,Enterococcus faecalis,membrane-bound serine racemase VanT-E,Enterococcus faecalis,Enterococcus faecalis,N00-0410,Enterococcus faecalis,N00-0410,Enterococcus faecalis N00-0410,http://www.wikidata.org/entity/Q140014
,vanT-G,,membrane-bound serine racemase VanT-G,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_021418922.1,NG_048457.1,No,AAQ16274.1,AY271782.1,+,22852,24990,+,101.0,2239.0,16723588,,vanTG,vanT-G,2023-11-15.1,Enterococcus faecalis BM4518 vanT-G,membrane-bound serine racemase VanT-G,,Enterococcus faecalis,Bacillota,membrane-bound serine racemase VanT-G,Bacillota,Enterococcus faecalis,BM4518,Enterococcus faecalis,BM4518,Enterococcus faecalis BM4518,http://www.wikidata.org/entity/Q140014
,vanT-N,,membrane-bound serine racemase VanT-N,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856757.1,NG_048461.1,No,AEP40502.2,JF802084.2,+,2162,4264,+,101.0,2203.0,21807981,,vanTN,vanT-N,2023-11-15.1,Enterococcus faecium UCN71 vanT-N,membrane-bound serine racemase VanT-N,,Enterococcus faecium,Enterococcus,membrane-bound serine racemase VanT-N,Enterococcus,Enterococcus faecium,UCN71,Enterococcus faecium,UCN71,Enterococcus faecium UCN71,http://www.wikidata.org/entity/Q140010
,vanTc,,membrane-bound serine racemase VanT,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856759.1,NG_048463.1,No,AAK58491.1,AY033764.1,+,1644,3746,+,101.0,2203.0,12615874,,,vanTc3,2023-11-15.1,Enterococcus casseliflavus CCM 439 vanTc,membrane-bound serine racemase VanT,,Enterococcus casseliflavus,Enterococcus casseliflavus,membrane-bound serine racemase VanT,Enterococcus casseliflavus,Enterococcus casseliflavus,CCM 439,Enterococcus casseliflavus,CCM 439,Enterococcus casseliflavus CCM 439,http://www.wikidata.org/entity/Q5834259
,vanTm,,serine racemase VanT-L membrane subunit,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856760.1,NG_048464.1,No,ABX54689.1,EU250284.1,+,2575,3564,+,101.0,1090.0,18458129,,,vanTm-L,2023-11-15.1,Enterococcus faecalis N06-0364 vanTm,serine racemase VanT-L membrane subunit,,Enterococcus faecalis,Enterococcus faecalis,serine racemase VanT-L membrane subunit,Enterococcus faecalis,Enterococcus faecalis,N06-0364,Enterococcus faecalis,N06-0364,Enterococcus faecalis N06-0364,http://www.wikidata.org/entity/Q140014
,vanTr,,serine racemase VanT-L catalytic subunit,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856761.1,NG_048465.1,No,ABX54690.1,EU250284.1,+,3558,4658,+,101.0,1201.0,18458129,,,vanTr-L,2023-11-15.1,Enterococcus faecalis N06-0364 vanTr,serine racemase VanT-L catalytic subunit,,Enterococcus faecalis,Enterococcus faecalis,serine racemase VanT-L catalytic subunit,Enterococcus faecalis,Enterococcus faecalis,N06-0364,Enterococcus faecalis,N06-0364,Enterococcus faecalis N06-0364,http://www.wikidata.org/entity/Q140014
,vanU-G,,glycopeptide resistance transcriptional regulator VanU-G,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_021418929.1,NG_048466.1,No,AAQ16267.1,AY271782.1,+,17095,17322,+,101.0,328.0,14617152,,,vanU-G,2023-11-15.1,Enterococcus faecalis BM4518 vanU-G,glycopeptide resistance transcriptional regulator VanU-G,,Enterococcus faecalis,Bacillota,glycopeptide resistance transcriptional regulator VanU-G,Bacillota,Enterococcus faecalis,BM4518,Enterococcus faecalis,BM4518,Enterococcus faecalis BM4518,http://www.wikidata.org/entity/Q140014
,vanW-B,,glycopeptide resistance accessory protein VanW-B,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_032489744.1,NG_048467.1,No,AAF72361.1,AF192329.1,+,27047,27874,+,101.0,928.0,10846226,,,vanW-B,2023-11-15.1,Enterococcus faecalis BM4382 pIP834 vanW-B,glycopeptide resistance accessory protein VanW-B,,Enterococcus faecalis,Enterococcus faecalis,glycopeptide resistance accessory protein VanW-B,Enterococcus faecalis,Enterococcus faecalis,BM4382,Enterococcus faecalis,BM4382,Enterococcus faecalis BM4382,http://www.wikidata.org/entity/Q140014
,vanW-B,,glycopeptide resistance accessory protein VanW-B,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856765.1,NG_048473.1,No,ACQ66103.1,FJ767776.1,+,3314,4141,+,101.0,928.0,19273676,,,vanW-B,2023-11-15.1,Enterococcus faecium BM4661 vanW-B,glycopeptide resistance accessory protein VanW-B,,Enterococcus faecium,Enterococcus faecium,glycopeptide resistance accessory protein VanW-B,Enterococcus faecium,Enterococcus faecium,BM4661,Enterococcus faecium,BM4661,Enterococcus faecium BM4661,http://www.wikidata.org/entity/Q140010
,vanW-B,,glycopeptide resistance accessory protein VanW-B,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856766.1,NG_048474.1,No,AHH83942.1,KF823969.1,+,3335,4150,+,101.0,916.0,,,,vanW-B,2023-11-15.1,Enterococcus faecium SAU28 vanW-B,glycopeptide resistance accessory protein VanW-B,,Enterococcus faecium,Enterococcus faecium,glycopeptide resistance accessory protein VanW-B,Enterococcus faecium,Enterococcus faecium,SAU28,Enterococcus faecium,SAU28,Enterococcus faecium SAU28,http://www.wikidata.org/entity/Q140010
,vanW-B,,glycopeptide resistance accessory protein VanW-B,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_002368694.1,NG_055634.1,No,AAB05625.1,U35369.1,+,3183,4010,+,101.0,928.0,8631706,,,vanW-B,2023-11-15.1,Enterococcus faecalis V583 vanW-B,glycopeptide resistance accessory protein VanW-B,,Enterococcus faecalis,Enterococcus,glycopeptide resistance accessory protein VanW-B,Enterococcus,Enterococcus faecalis,V583,Enterococcus faecalis,V583,Enterococcus faecalis V583,http://www.wikidata.org/entity/Q140014
,vanW-G,,glycopeptide resistance accessory protein VanW-G,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856762.1,NG_048468.1,No,AAQ16271.1,AY271782.1,+,20202,21047,+,101.0,946.0,14617152,,,vanW-G,2023-11-15.1,Enterococcus faecalis BM4518 vanW-G,glycopeptide resistance accessory protein VanW-G,,Enterococcus faecalis,Enterococcus faecalis,glycopeptide resistance accessory protein VanW-G,Enterococcus faecalis,Enterococcus faecalis,BM4518,Enterococcus faecalis,BM4518,Enterococcus faecalis BM4518,http://www.wikidata.org/entity/Q140014
,vanW-G,,glycopeptide resistance accessory protein VanW-G,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_021419095.1,NG_048471.1,No,ABA71730.1,DQ212986.1,+,5138,5983,+,101.0,946.0,16723588,,,vanW-G,2023-11-15.1,Enterococcus faecalis G1-01247 vanW-G,glycopeptide resistance accessory protein VanW-G,,Enterococcus faecalis,Bacillota,glycopeptide resistance accessory protein VanW-G,Bacillota,Enterococcus faecalis,G1-01247,Enterococcus faecalis,G1-01247,Enterococcus faecalis G1-01247,http://www.wikidata.org/entity/Q140014
,vanW-I,,glycopeptide resistance accessory protein VanW-I,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_005813024.1,NG_055764.1,No,BAE83690.1,AP008230.1,-,2195401,2196522,+,101.0,1222.0,,,,vanW-I,2023-11-15.1,Desulfitobacterium hafniense Y51 vanW-I,glycopeptide resistance accessory protein VanW-I,,Desulfitobacterium hafniense Y51,Desulfitobacterium hafniense,glycopeptide resistance accessory protein VanW-I,Desulfitobacterium hafniense,Desulfitobacterium hafniense Y51,Y51,Desulfitobacterium hafniense Y51,Y51,Desulfitobacterium hafniense Y51,http://www.wikidata.org/entity/Q3706079
,vanW-Pt,,glycopeptide resistance accessory protein VanW-Pt,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856764.1,NG_048470.1,No,AAY52011.1,DQ018711.1,+,2047,2862,+,101.0,916.0,16189102,,,vanW-Pt,2023-11-15.1,Paenibacillus apiarius PA-B2B vanW-Pt,glycopeptide resistance accessory protein VanW-Pt,,Paenibacillus apiarius,Paenibacillus apiarius,glycopeptide resistance accessory protein VanW-Pt,Paenibacillus apiarius,Paenibacillus apiarius,PA-B2B,Paenibacillus apiarius,PA-B2B,Paenibacillus apiarius PA-B2B,http://www.wikidata.org/entity/Q26269679
,vanX-Ac1,,D-Ala-D-Ala dipeptidase VanX-Ac1,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856768.1,NG_048478.1,No,ABB88464.1,DQ246438.1,+,2221,2835,+,101.0,715.0,16476725,,,vanX-Ac1,2023-11-15.1,Amycolatopsis coloradensis DSM 44225 vanX-Ac1,D-Ala-D-Ala dipeptidase VanX-Ac1,,Amycolatopsis coloradensis,Amycolatopsis coloradensis,D-Ala-D-Ala dipeptidase VanX-Ac1,Amycolatopsis coloradensis,Amycolatopsis coloradensis,DSM 44225,Amycolatopsis coloradensis,DSM 44225,Amycolatopsis coloradensis DSM 44225,http://www.wikidata.org/entity/Q25835952
,vanX-Ao1,,D-Ala-D-Ala dipeptidase VanX-Ao1,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856769.1,NG_048479.1,No,AAD19836.1,AF060799.1,+,2604,3212,+,101.0,709.0,9736537,,,vanX-Ao1,2023-11-15.1,Amycolatopsis orientalis C329.2 vanX-Ao1,D-Ala-D-Ala dipeptidase VanX-Ao1,,Amycolatopsis orientalis,Amycolatopsis orientalis,D-Ala-D-Ala dipeptidase VanX-Ao1,Amycolatopsis orientalis,Amycolatopsis orientalis,C329.2,Amycolatopsis orientalis,C329.2,Amycolatopsis orientalis C329.2,http://www.wikidata.org/entity/Q25836134
,vanX-Ao2,,D-Ala-D-Ala dipeptidase VanX-Ao2,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_016331866.1,NG_048480.1,No,AEI58861.1,HQ679900.1,+,2070,2678,+,101.0,709.0,,,,vanX-Ao2,2023-11-15.1,Amycolatopsis orientalis HCCB10007 vanX-Ao2,D-Ala-D-Ala dipeptidase VanX-Ao2,,Amycolatopsis orientalis HCCB10007,Amycolatopsis,D-Ala-D-Ala dipeptidase VanX-Ao2,Amycolatopsis,Amycolatopsis orientalis HCCB10007,HCCB10007,Amycolatopsis orientalis HCCB10007,HCCB10007,Amycolatopsis orientalis HCCB10007,http://www.wikidata.org/entity/Q25836134
,vanX-B,,D-Ala-D-Ala dipeptidase VanX-B,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_032489747.1,NG_048482.1,No,AAF72364.1,AF192329.1,+,29869,30477,+,101.0,709.0,10846226,,,vanX-B,2023-11-15.1,Enterococcus faecalis BM4382 pIP834 vanX-B,D-Ala-D-Ala dipeptidase VanX-B,,Enterococcus faecalis,Enterococcus faecalis,D-Ala-D-Ala dipeptidase VanX-B,Enterococcus faecalis,Enterococcus faecalis,BM4382,Enterococcus faecalis,BM4382,Enterococcus faecalis BM4382,http://www.wikidata.org/entity/Q140014
,vanX-B,,D-Ala-D-Ala dipeptidase VanX-B,core,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_002317266.1,NG_048483.1,No,AAG34692.2,AF310956.2,+,6293,6901,+,101.0,709.0,11376048,,,vanX-B,2023-11-15.1,Enterococcus faecium TSGH1 vanX-B,D-Ala-D-Ala dipeptidase VanX-B,,Enterococcus faecium,Terrabacteria group,D-Ala-D-Ala dipeptidase VanX-B,Terrabacteria group,Enterococcus faecium,TSGH1,Enterococcus faecium,TSGH1,Enterococcus faecium TSGH1,http://www.wikidata.org/entity/Q140010
